,total,baseTotal,mcc,baseCurrency,date,currency,merchant
312,4.6,4.6,7523.0,EUR,2020-01-23 10:39:43.591,EUR,APARCAMIENTO ALMAGRO
313,75.0,75.0,,EUR,2020-01-22 23:00:00.000,EUR,NUEVOCAFE INVERSIONES
314,1.0,1.0,,GBP,2020-01-28 10:38:00.000,GBP,Mike g
315,1.0,1.0,,GBP,2020-01-28 10:41:00.000,GBP,Test
316,1.5,1.5,,GBP,2020-01-28 10:03:00.000,GBP,Galvin partial
317,20.0,20.0,5734.0,EUR,2020-01-28 13:01:17.630,EUR,WWW.SAGE.COM EUR
318,0.01,0.01,,GBP,2020-01-29 06:29:00.000,GBP,Costa
319,15.71,15.71,4121.0,EUR,2020-01-29 20:54:26.505,EUR,UBER TRIP
320,40703.01,40703.01,,EUR,2020-01-30 09:55:40.277,EUR,Anthony Normann
321,17.76,17.76,4121.0,EUR,2020-01-30 10:22:22.382,EUR,UBER TRIP
322,124.92,124.92,3102.0,EUR,2020-01-30 10:26:39.812,EUR,IB EUR
323,1.0,1.0,4121.0,EUR,2020-01-30 10:41:41.086,EUR,UBER TRIP
324,0.01,0.01,,GBP,2020-01-30 12:29:49.856,GBP,Costa
325,-17.76,-17.76,4121.0,EUR,2020-01-31 08:35:38.026,EUR,UBER TRIP
326,14.81,14.81,7512.0,EUR,2020-02-01 00:20:28.827,EUR,EMOV madrid
327,58.81,45.09,5734.0,GBP,2020-02-01 11:22:12.407,USD,INTERCOM SAN
328,58.81,45.09,5734.0,GBP,2020-02-01 11:22:12.720,USD,INTERCOM SAN
329,96.8,87.57,7399.0,EUR,2020-02-01 16:36:40.102,USD,VULTRHOLDINGSLLC VULTR.COM
330,100.0,90.47,5734.0,EUR,2020-02-02 06:27:45.348,USD,ATLASSIAN ATLASSIAN
331,97.46,97.46,3245.0,EUR,2020-02-02 14:40:28.809,EUR,"EASYJET LUTON,"
332,107.46,107.46,2741.0,EUR,2020-02-02 15:19:40.992,EUR,VISTAPRINT 800-721-6214
333,7.8,7.8,5813.0,EUR,2020-02-03 19:05:17.140,EUR,SANTA BARBARA
334,5.75,5.75,5813.0,EUR,2020-02-05 11:49:13.586,EUR,PANARIA BERNABEU
335,9.35,9.35,,GBP,2020-02-05 00:00:00.000,GBP,SSP UK
336,1.0,1.0,,GBP,2020-02-06 12:00:01.130,GBP,Michael galvin
337,0.01,0.01,,GBP,2020-02-06 16:16:00.000,GBP,Delete!
338,47.185,42.81,7399.0,EUR,2020-02-07 07:39:25.217,USD,AWS EMEA
339,19.66,19.66,5734.0,EUR,2020-02-09 18:32:26.635,EUR,Creative Cloud
340,2348.5,2348.48,5732.0,EUR,2020-02-10 12:51:04.140,EUR,APPLE STORE
341,1.0,1.0,,GBP,2020-02-10 16:19:16.407,GBP,Michael galvin
342,1.5,1.5,7372.0,GBP,2020-02-10 17:08:57.897,GBP,SQ *LUM
343,26.995,24.69,5734.0,EUR,2020-02-12 07:31:27.069,USD,ATLASSIAN ATLASSIAN
344,25.8,25.8,5812.0,EUR,2020-02-12 19:38:45.770,EUR,CRUZ BLANCA
345,17.6,17.6,4121.0,EUR,2020-02-12 21:53:53.656,EUR,LICENCIA 77
346,5.82,5.82,7512.0,EUR,2020-02-13 00:19:32.480,EUR,EMOV madrid
347,45.0,45.0,5734.0,GBP,2020-02-13 06:18:57.766,GBP,XERO UK
348,4.24,4.24,,EUR,2020-02-11 23:00:00.000,EUR,hoc
349,4.24,4.24,,EUR,2020-02-13 07:30:12.087,EUR,Jose Nistal
350,48.2,48.2,5812.0,EUR,2020-02-13 14:31:56.731,EUR,WHITBY MADRID
351,14.0,14.0,4121.0,EUR,2020-02-13 19:52:15.447,EUR,FRUTOS SANZ
352,4.5,4.5,5812.0,EUR,2020-02-14 09:30:53.757,EUR,WHITBY MADRID
353,46.0,46.0,7011.0,EUR,2020-02-14 12:10:46.877,EUR,LOUNGE MADRID
354,10.8,10.8,7523.0,EUR,2020-02-14 12:23:23.631,EUR,SERRANOPARK MADRID
355,8.98,8.98,4121.0,EUR,2020-02-14 19:31:27.615,EUR,CABIFY CABIFY
356,1.0,1.0,,GBP,2020-02-17 10:12:22.139,GBP,Mike-Allica Galvin
357,58.81,45.12,5734.0,GBP,2020-02-17 10:17:17.711,USD,INTERCOM SAN
358,4.95,4.95,5813.0,EUR,2020-02-19 09:43:43.182,EUR,PANARIA BERNABEU
359,3.25,3.91,5970.0,EUR,2020-02-19 16:16:57.800,GBP,STUART R
360,0.01,0.01,,GBP,2020-01-01 11:30:00.000,GBP,Test
361,43.65,52.52,5812.0,EUR,2020-02-20 14:44:07.192,GBP,DISHOOM SHOREDIT
362,4.5,4.5,5812.0,EUR,2019-10-18 11:40:46.508,EUR,CASA SALVA
363,20.0,20.0,5734.0,EUR,2019-08-28 10:00:41.947,EUR,WWW.SAGE.COM EUR
364,6.9,6.9,4121.0,EUR,2020-02-13 09:06:18.915,EUR,MANUEL HUERTAS
365,25.0,25.0,8999.0,GBP,2019-08-26 21:20:00.419,GBP,ROCKET LAWYER
366,96.8,86.29,7399.0,EUR,2020-01-01 16:23:43.345,USD,VULTRHOLDINGSLLC VULTR.COM
367,1.0,1.12,8999.0,EUR,2019-07-09 22:08:14.586,GBP,Card verification
368,47.0,43.03,7399.0,EUR,2019-10-08 15:59:47.103,CHF,Ifage Geneve
369,20.0,20.0,5734.0,EUR,2019-09-28 12:02:19.011,EUR,WWW.SAGE.COM EUR
370,20.0,17.95,5734.0,EUR,2019-08-02 03:49:43.043,USD,ATLASSIAN ATLASSIAN
371,3.6,3.6,,EUR,2019-09-17 16:24:00.000,EUR,Panaria
372,0.01,0.01,7512.0,EUR,2019-10-18 10:14:23.353,EUR,ZITY Madrid
373,1.19,1.38,8999.0,EUR,2019-10-18 08:24:16.063,GBP,Curv
374,29.0,26.74,5734.0,EUR,2020-02-17 13:54:57.190,USD,ZEPLIN INC
375,14.4,14.4,5734.0,GBP,2019-09-16 03:02:43.612,GBP,XERO UK
376,23.1,23.1,7011.0,EUR,2019-07-10 15:33:18.539,EUR,CJ1 MURCIA
377,79.31,79.31,5968.0,EUR,2020-02-01 18:33:51.896,EUR,GOOGLE *GSUITE_groupol
378,1.0,1.08,8999.0,EUR,2019-08-09 10:52:33.332,GBP,Card verification
379,1.0,1.0,,GBP,2020-01-17 13:12:02.812,GBP,Michael galvin
380,17.82,17.82,4121.0,EUR,2020-01-30 22:40:31.161,EUR,UBER TRIP
381,29.0,26.32,5734.0,EUR,2019-10-17 12:54:45.668,USD,ZEPLIN INC
382,-1.12,-1.12,8999.0,EUR,2019-07-09 22:08:15.889,GBP,CRV* Curve
383,-1.12,-1.12,8999.0,EUR,2019-06-18 08:48:39.300,GBP,CRV* Refund
384,18.19,18.19,9399.0,EUR,2020-02-10 11:12:53.563,EUR,REGISTRO MERCANTIL
385,12.0,12.0,,EUR,2020-01-21 23:00:00.000,EUR,MILFORDBAR S.L.
386,54.87,54.87,,EUR,2019-06-28 21:00:00.000,EUR,Iberia
387,15.85,15.85,4121.0,EUR,2019-10-17 19:03:36.056,EUR,TAXI 04905
388,1.28,1.28,7372.0,GBP,2019-07-23 11:15:29.165,GBP,SQ *LUM
389,201.49,201.49,5411.0,EUR,2019-12-07 16:45:47.068,EUR,ALCAMPO VAGUADA
390,30.75,30.75,4121.0,EUR,2019-11-29 21:53:36.692,EUR,LICENCIA 7032
391,112.6,112.6,5812.0,EUR,2019-10-17 14:15:01.316,EUR,VAQUERIA MONTA
392,1.7000000000000002,1.55,5411.0,EUR,2019-11-21 09:59:22.691,CHF,Migros MM
393,31.99,31.99,5999.0,EUR,2019-12-05 09:29:14.805,EUR,AMAZON.ES AMAZON.ES
394,107.1,107.1,7011.0,EUR,2019-07-10 13:15:54.820,EUR,CJ1 MURCIA
395,78.66,78.66,5968.0,GBP,2019-10-02 03:38:49.375,GBP,GOOGLE *GSUITE_groupol
396,1.11,1.11,,GBP,2019-07-11 23:00:00.000,GBP,Starbucks
397,15.0,13.64,5734.0,EUR,2019-10-12 06:13:33.042,USD,ATLASSIAN ATLASSIAN
398,-1.11,-1.11,8999.0,EUR,2019-07-09 13:40:50.152,GBP,CRV* Curve
399,13.5,13.5,,EUR,2019-05-22 16:46:00.000,EUR,Ferrovial Servicios
400,20.0,20.0,5734.0,EUR,2019-11-28 13:01:07.192,EUR,WWW.SAGE.COM EUR
401,34.8,34.8,5734.0,GBP,2019-10-13 05:11:29.714,GBP,XERO UK
402,5.0,5.0,5813.0,EUR,2019-07-28 16:25:08.029,EUR,TRISKEL TAVERN
403,1.6800000000000002,1.6800000000000002,7372.0,GBP,2019-07-11 11:56:08.481,GBP,SQ *LUM
404,236.2,236.2,3245.0,EUR,2019-11-26 17:19:07.861,EUR,easyJet EZ73XNG-718350
405,78.66,93.28,5968.0,EUR,2019-12-19 06:58:36.480,GBP,GOOGLE *GSUITE_groupol
406,5.98,5.98,7512.0,EUR,2019-09-09 10:44:20.478,EUR,ZITY Madrid
407,3.9,3.9,5812.0,EUR,2019-09-25 08:20:59.905,EUR,MENDIVIL RESTAURACION
408,1.0,1.12,8999.0,EUR,2019-07-10 09:48:31.811,GBP,Card verification
409,37.7,37.7,5813.0,EUR,2019-07-10 17:48:34.996,EUR,TAPA
410,69.0,69.0,7011.0,EUR,2019-12-10 17:20:39.126,EUR,EUROSTARS ATLANTICO
411,42.7,42.7,,EUR,2019-08-29 14:22:00.000,EUR,Conchas
412,10.9,10.9,,EUR,2019-07-10 13:00:00.000,EUR,Ferrovial Servicios
413,-1.12,-1.12,8999.0,EUR,2019-07-09 22:08:31.313,GBP,CRV* Curve
414,65.0,65.0,5812.0,EUR,2019-03-14 20:39:59.705,EUR,OZU SERVICIOS
415,0.41,0.47,8999.0,EUR,2019-10-17 15:12:08.677,GBP,Curv
416,29.0,26.01,5734.0,EUR,2019-12-17 13:58:23.009,USD,ZEPLIN INC
417,2.5,2.5,,EUR,2019-11-25 12:46:00.000,EUR,Starbucks
418,58.81,45.17,5734.0,GBP,2020-01-30 11:01:38.595,USD,INTERCOM SAN
419,16.0,16.0,4121.0,EUR,2019-10-02 21:38:13.014,EUR,TAXI 9959
420,22.52,22.52,9399.0,EUR,2019-07-19 04:18:53.795,EUR,REGISTRO MERCANTIL
421,1.0,1.12,8999.0,EUR,2019-07-10 10:35:25.273,GBP,Card verification
422,1.0,1.0,,GBP,2020-02-18 11:17:49.601,GBP,LUM Fintech
423,400.0,400.0,9399.0,EUR,2019-10-22 11:08:06.525,EUR,REG MERC
424,3.0,3.0,,EUR,2019-06-28 22:00:00.000,EUR,INCRO
425,-1.0,-1.08,8999.0,EUR,2019-08-09 10:52:42.177,GBP,CRV* Refund
426,87.82,78.36,,EUR,2019-06-12 22:00:00.000,CHF,Iberia
427,29.89,29.89,5812.0,GBP,2019-11-05 13:09:37.573,GBP,TABERNA DANIELA
428,7.26,7.26,7512.0,EUR,2020-01-14 00:19:03.060,EUR,EMOV madrid
429,1.0,1.0,7011.0,EUR,2019-11-21 14:38:23.360,EUR,RAMBLAS BARCELONA
430,1.55,1.55,7372.0,GBP,2019-07-05 13:06:18.396,GBP,SQ *LUM
431,0.01,0.01,5812.0,GBP,2019-08-07 17:28:15.536,GBP,DUCK RICE
432,10.0,8.9,5734.0,EUR,2019-07-12 03:32:16.201,USD,ATLASSIAN ATLASSIAN
433,96.8,87.82,7399.0,EUR,2019-09-01 13:11:57.503,USD,VULTRHOLDINGSLLC VULTR.COM
434,2.75,2.75,7523.0,EUR,2019-12-02 10:29:45.373,EUR,PK VELAZQUEZ
435,1.0,1.0,,GBP,2020-02-10 00:00:00.000,GBP,Taxi
436,109296.99,109296.99,,EUR,2020-01-30 09:56:13.953,EUR,Whitetree Capital
437,17.14,17.14,4121.0,GBP,2019-09-24 21:12:06.035,GBP,UBER TRIP
438,17.5,17.5,,EUR,2019-06-29 22:00:00.000,EUR,Taxis Milan
439,5.04,5.04,7512.0,EUR,2020-02-17 17:03:41.904,EUR,ZITY Madrid
440,4.1,4.1,5813.0,EUR,2019-02-14 06:58:47.215,EUR,CAFE MADRID
441,9.52,9.52,5411.0,GBP,2019-06-05 15:02:12.213,GBP,HAMISH JOHSTON
442,1.0,1.11,8999.0,EUR,2019-07-09 11:40:49.190,GBP,Card verification
443,68.51,68.51,3015.0,EUR,2019-11-11 11:27:52.615,EUR,Swiss International
444,50.0,50.0,6011.0,EUR,2019-12-14 11:17:14.722,EUR,BANKINTER MADRID
445,1.0,1.16,8999.0,EUR,2019-10-18 08:24:07.542,GBP,Card verification
446,43.84,43.84,5734.0,GBP,2019-12-13 07:12:10.717,GBP,XERO UK
447,96.8,88.67,7399.0,EUR,2019-10-01 15:16:17.647,USD,VULTRHOLDINGSLLC VULTR.COM
448,2.0,2.0,,GBP,2019-10-08 11:53:17.610,GBP,Michael galvin
449,4.0,4.0,4511.0,EUR,2019-12-10 08:54:39.270,EUR,AIR EUROPA
450,1.0,1.0,7399.0,EUR,2019-02-15 11:20:05.630,EUR,GOOGLE *SERVICES
451,29.94,29.94,5331.0,EUR,2019-12-10 17:48:26.752,EUR,ALCAMPO28029-VAGUADA MADRID
452,100.0,90.87,5734.0,EUR,2019-12-02 07:07:36.529,USD,ATLASSIAN ATLASSIAN
453,-1.0,-1.0,4121.0,GBP,2019-11-05 15:54:48.586,GBP,UberBV
454,1.25,1.25,,GBP,2020-01-28 10:45:00.000,GBP,Galvin
455,12.1,12.1,5812.0,EUR,2019-11-20 11:47:30.142,EUR,EAT FOOD
456,31.0,31.0,5812.0,EUR,2020-01-21 19:29:29.269,EUR,ABONAVIDA MADRID
457,7.55,7.55,7512.0,EUR,2019-11-21 00:23:30.707,EUR,EMOV madrid
458,10.45,10.45,7512.0,EUR,2020-02-12 00:17:25.764,EUR,EMOV madrid
459,3.66,3.66,5812.0,GBP,2019-07-08 09:35:11.276,GBP,BLUEBIRD RESTAURAN
460,-10.35,-10.35,7011.0,EUR,2019-12-17 16:38:24.112,EUR,ATOCHA MADRID
461,57.9,57.9,,EUR,2019-10-06 12:51:25.877,EUR,Jose Nistal
